SWV ITM Data Console - ITM Port: 0
IMU,155466,AX=0.064453,AY=-0.009766,AZ=0.924805,MX=0.438000,MY=-0.057000,MZ=-0.603000,GX=0.450180,GY=-0.758114,GZ=1.017496
IMU,155468,AX=0.064453,AY=-0.009766,AZ=0.924805,MX=0.438000,MY=-0.057000,MZ=-0.597000,GX=0.535683,GY=-0.882740,GZ=1.186740
IMU,155470,AX=0.064453,AY=-0.009766,AZ=0.924805,MX=0.424500,MY=-0.051000,MZ=-0.597000,GX=0.540875,GY=-0.889341,GZ=1.195735
IMU,155472,AX=0.058594,AY=-0.006836,AZ=0.928711,MX=0.424500,MY=-0.051000,MZ=-0.597000,GX=0.593993,GY=-0.869955,GZ=1.297669
IMU,155474,AX=0.058594,AY=-0.006836,AZ=0.928711,MX=0.424500,MY=-0.051000,MZ=-0.597000,GX=0.770743,GY=-0.870539,GZ=1.641004
IMU,155476,AX=0.058594,AY=-0.006836,AZ=0.928711,MX=0.424500,MY=-0.051000,MZ=-0IMU,155478,AX=0.058594,AY=-0.006836,AZ=0.928711,MX=0.424500,MY=-0.051000,MZ=-0.597000,GX=1.020931,GY=-0.891970,GZ=2.127985
IMU,155480,AX=0.058594,AY=-0.006836,AZ=0.928711,MX=0.430500,MY=-0.043500,MZ=-0.597000,GX=0.995409,GY=-0.791429,GZ=2.202657
IMU,155482,AX=0.061523,AY=-0.012695,AZ=0.933594,MX=0.430500,MY=-0.043500,MZ=-0.597000,GX=0.898631,GY=-0.515819,GZ=2.346203
IMU,155484,AX=0.061523,AY=-0.012695,AZ=0.933594,MX=0.430500,MY=-0.043500,MZ=-0.597000,GX=0.809612,GY=-0.253247,GZ=2.488536
IMU,155486,AX=0.061523,AY=-0.012695,AZ=0.933594,MX=0.430500,MY=-0.043500,MZ=-0.597000,GX=0.774297,GY=-0.146597,GZ=2.547825
IMU,155488,AX=0.061523,AY=-0.012695,AZ=0.933594,MX=0.430500,MY=-0.043500,MZ=-0.597000,GX=0.773061,GY=-0.141284,GZ=2.551697
IMU,155490,AX=0.061523,AY=-0.012695,AZ=0.933594,MX=0.436500,MY=-0.045000,MZ=-0.600000,GX=0.729008,GY=-0.050186,GZ=2.538064
IMU,155492,AX=0.064453,AY=-0.012695,AZ=0.931641,MX=0.436500,MY=-0.045000,MZ=-0.600000,GX=0.595489,GY=0.238486,GZ=2.525395
IMU,155494,AX=0.064453,AY=-0.012695,AZ=0.931641,MX=0.436500,MY=-0.045000,MZ=-0.600000,GX=0.464875,GY=0.523650,GZ=2.519063
IMU,155496,AX=0.064453,AY=-0.012695,AZ=0.931641,MX=0.436500,MY=-0.045000,MZ=-0.600000,GX=0.410919,GY=0.642164,GZ=2.518010
IMU,155498,AX=0.064453,AY=-0.012695,AZ=0.931641,MX=0.436500,MY=-0.045000,MZ=-0.600000,GX=0.407670,GY=0.649738,GZ=2.518901
IMU,155500,AX=0.064453,AY=-0.012695,AZ=0.931641,MX=0.435000,MY=-0.051000,MZ=-0.609000,GX=0.328822,GY=0.539721,GZ=2.702873
IMU,155502,AX=0.057617,AY=-0.010742,AZ=0.948242,MX=0.435000,MY=-0.051000,MZ=-0.609000,GX=0.096168,GY=0.293593,GZ=3.192312
IMU,155504,AX=0.057617,AY=-0.010742,AZ=0.948242,MX=0.435000,MY=-0.051000,MZ=-0.609000,GX=-0.130336,GY=0.070999,GZ=3.657426
IMU,155506,AX=0.057617,AY=-0.010742,AZ=0.948242,MX=0.435000,MY=-0.051000,MZ=-0.609000,GX=-0.223623,GY=-0.016264,GZ=3.846035
IMU,155508,AX=0.057617,AY=-0.010742,AZ=0.948242,MX=0.435000,MY=-0.051000,MZ=-0.609000,GX=-0.292649,GY=-0.051717,GZ=3.787845
IMU,155510,AX=0.057617,AY=-0.010742,AZ=0.948242,MX=0.429000,MY=-0.046500,MZ=-0.609000,GX=-0.442586,GY=-0.119610,GZ=3.566422
IMU,155512,AX=0.051758,AY=-0.009766,AZ=0.936523,MX=0.429000,MY=-0.046500,MZ=-0.609000,GX=-0.589361,GY=-0.189284,GZ=3.365129
IMU,155514,AX=0.051758,AY=-0.009766,AZ=0.936523,MX=0.429000,MY=-0.046500,MZ=-0.609000,GX=-0.650018,GY=-0.218906,GZ=3.285926
IMU,155516,AX=0.051758,AY=-0.009766,AZ=0.936523,MX=0.429000,MY=-0.046500,MZ=-0.609000,GX=-0.653687,GY=-0.221203,GZ=3.283569
IMU,155518,AX=0.051758,AY=-0.009766,AZ=0.936523,MX=0.429000,MY=-0.046500,MZ=-0.609000,GX=-0.606511,GY=-0.233073,GZ=3.284169
IMU,155520,AX=0.051758,AY=-0.009766,AZ=0.936523,MX=0.427500,MY=-0.039000,MZ=-0.603000,GX=-0.505264,GY=-0.276062,GZ=3.249563
IMU,155522,AX=0.054688,AY=-0.013672,AZ=0.948242,MX=0.427500,MY=-0.039000,MZ=-0.603000,GX=-0.414895,GY=-0.319716,GZ=3.208387
IMU,155524,AX=0.054688,AY=-0.013672,AZ=0.948242,MX=0.427500,MY=-0.039000,MZ=-0.603000,GX=-0.379802,GY=-0.338162,GZ=3.189489
IMU,155526,AX=0.054688,AY=-0.013672,AZ=0.948242,MX=0.427500,MY=-0.039000,MZ=-0.603000,GX=-0.379055,GY=-0.339525,GZ=3.187198
IMU,155528,AX=0.054688,AY=-0.013672,AZ=0.948242,MX=0.427500,MY=-0.039000,MZ=-0.603000,GX=-0.355619,GY=-0.316712,GZ=3.054369
IMU,155530,AX=0.054688,AY=-0.013672,AZ=0.948242,MX=0.432000,MY=-0.045000,MZ=-0.601500,GX=-0.276503,GY=-0.262912,GZ=2.693698
